"LBXVIE.Code.or.Value","LBXVIE.Value.Description","LBXVIE.Count","LBXVIE.Cumulative","LBXVIE.Skip.to.Item"
"75.3 to 13083.9","Range of Values",8365,8365,NA
".","Missing",897,9262,NA
