"FSQ165.Code.or.Value","FSQ165.Value.Description","FSQ165.Count","FSQ165.Cumulative","FSQ165.Skip.to.Item"
"1","Yes",3329,3329,""
"2","No",7092,10421,"FSQ162"
"7","Refused",28,10449,"FSQ162"
"9","Don't know",21,10470,"FSQ162"
".","Missing",67,10537,""
