"CVDEXCL5.Code.or.Value","CVDEXCL5.Value.Description","CVDEXCL5.Count","CVDEXCL5.Cumulative","CVDEXCL5.Skip.to.Item"
"1","Yes",67,67,NA
"2","No",732,799,NA
".","Missing",3803,4602,NA
