"DR2IM201.Code.or.Value","DR2IM201.Value.Description","DR2IM201.Count","DR2IM201.Cumulative","DR2IM201.Skip.to.Item"
"0 to 2.554","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
