"LBXSF4SI.Code.or.Value","LBXSF4SI.Value.Description","LBXSF4SI.Count","LBXSF4SI.Cumulative","LBXSF4SI.Skip.to.Item"
"0.177 to 19.8","Range of Values",4571,4571,NA
".","Missing",521,5092,NA
