"DS1ACTSS.Code.or.Value","DS1ACTSS.Value.Description","DS1ACTSS.Count","DS1ACTSS.Cumulative","DS1ACTSS.Skip.to.Item"
"0.06 to 15","Range of Values",5237,5237,NA
"999","Don't know",0,5237,NA
".","Missing",133,5370,NA
