"VTD241B.Code.or.Value","VTD241B.Value.Description","VTD241B.Count","VTD241B.Cumulative","VTD241B.Skip.to.Item"
"1 to 48","Range of Values",410,410,NA
"77","Refused",0,410,NA
"99","Don't know",1,411,NA
".","Missing",2983,3394,NA
