"DR2IM201.Code.or.Value","DR2IM201.Value.Description","DR2IM201.Count","DR2IM201.Cumulative","DR2IM201.Skip.to.Item"
"0 to 5.282","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
