"DXXL1BMC.Code.or.Value","DXXL1BMC.Value.Description","DXXL1BMC.Count","DXXL1BMC.Cumulative","DXXL1BMC.Skip.to.Item"
"2.27 to 31.1","Range of Values",6627,6627,NA
".","Missing",1558,8185,NA
