"DS2TVB2.Code.or.Value","DS2TVB2.Value.Description","DS2TVB2.Count","DS2TVB2.Cumulative","DS2TVB2.Skip.to.Item"
"0.06 to 401.7","Range of Values",1040,1040,NA
".","Missing",7664,8704,NA
