"DUQ220Q.Code.or.Value","DUQ220Q.Value.Description","DUQ220Q.Count","DUQ220Q.Cumulative","DUQ220Q.Skip.to.Item"
"0 to 228","Range of Values",1733,1733,NA
"7777","Refused",2,1735,NA
"9999","Don't know",2,1737,NA
".","Missing",2835,4572,NA
