"DMDHHSZB.Code.or.Value","DMDHHSZB.Value.Description","DMDHHSZB.Count","DMDHHSZB.Cumulative","DMDHHSZB.Skip.to.Item"
"0","0",4907,4907,NA
"1","1",2099,7006,NA
"2","2",1814,8820,NA
"3","3",887,9707,NA
"4","4 or more",468,10175,NA
".","Missing",0,10175,NA
