"DXXPT3X.Code.or.Value","DXXPT3X.Value.Description","DXXPT3X.Count","DXXPT3X.Cumulative","DXXPT3X.Skip.to.Item"
"673 to 1200.6","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
