"MCQ260FG.Code.or.Value","MCQ260FG.Value.Description","MCQ260FG.Count","MCQ260FG.Cumulative","MCQ260FG.Skip.to.Item"
"7","Brother",194,194,"MCQ250G"
".","Missing",10276,10470,""
