"DS1TSFAT.Code.or.Value","DS1TSFAT.Value.Description","DS1TSFAT.Count","DS1TSFAT.Cumulative","DS1TSFAT.Skip.to.Item"
"0.093 to 9","Range of Values",135,135,NA
".","Missing",9678,9813,NA
