"LBXP2.Code.or.Value","LBXP2.Value.Description","LBXP2.Count","LBXP2.Cumulative","LBXP2.Skip.to.Item"
"0.05 to 7.65","Range of Values",1308,1308,NA
"0.04","At or below detection limit fill value",13,1321,NA
".","Missing",160,1481,NA
