"LBXBCO.Code.or.Value","LBXBCO.Value.Description","LBXBCO.Count","LBXBCO.Cumulative","LBXBCO.Skip.to.Item"
"0.06 to 14.75","Range of Values",3454,3454,NA
".","Missing",156,3610,NA
