"OPDUPIGA.Code.or.Value","OPDUPIGA.Value.Description","OPDUPIGA.Count","OPDUPIGA.Cumulative","OPDUPIGA.Skip.to.Item"
"0","No",2272,2272,NA
"1","Yes",142,2414,NA
".","Missing",520,2934,NA
