"DUQ350Q.Code.or.Value","DUQ350Q.Value.Description","DUQ350Q.Count","DUQ350Q.Cumulative","DUQ350Q.Skip.to.Item"
"1 to 85","Range of Values",200,200,NA
"7777","Refused",0,200,NA
"9999","Don't know",0,200,NA
".","Missing",4643,4843,NA
