"DXDSTBMD.Code.or.Value","DXDSTBMD.Value.Description","DXDSTBMD.Count","DXDSTBMD.Cumulative","DXDSTBMD.Skip.to.Item"
"0.423 to 1.435","Range of Values",4992,4992,NA
".","Missing",1041,6033,NA
