"ALQ130.Code.or.Value","ALQ130.Value.Description","ALQ130.Count","ALQ130.Cumulative","ALQ130.Skip.to.Item"
"1 to 44","Range of Values",2977,2977,NA
"77","Refused",0,2977,NA
"99","Don't know",4,2981,NA
".","Missing",2046,5027,NA
