"DIQ300D.Code.or.Value","DIQ300D.Value.Description","DIQ300D.Count","DIQ300D.Cumulative","DIQ300D.Skip.to.Item"
"25 to 250","Range of Values",404,404,NA
"7777","Refused",5,409,NA
"9999","Don't know",299,708,NA
".","Missing",8656,9364,NA
