"LBXSLDSI.Code.or.Value","LBXSLDSI.Value.Description","LBXSLDSI.Count","LBXSLDSI.Cumulative","LBXSLDSI.Skip.to.Item"
"32 to 491","Range of Values",5969,5969,NA
".","Missing",580,6549,NA
