"DRABF.Code.or.Value","DRABF.Value.Description","DRABF.Count","DRABF.Cumulative","DRABF.Skip.to.Item"
"1","Yes",1463,1463,NA
"2","No",111115,112578,NA
".","Missing",0,112578,NA
