"OHQ030.Code.or.Value","OHQ030.Value.Description","OHQ030.Count","OHQ030.Cumulative","OHQ030.Skip.to.Item"
"1","6 months or less",4334,4334,""
"2","More than 6 months, but not more than 1 year ago",1519,5853,""
"3","More than 1 year, but not more than 2 years ago",958,6811,""
"4","More than 2 years, but not more than 3 years ago",578,7389,""
"5","More than 3 years, but not more than 5 years ago",504,7893,""
"6","More than 5 years ago",979,8872,""
"7","Never have been",671,9543,"OHQ550"
"77","Refused",2,9545,""
"99","Don't know",30,9575,""
".","Missing",0,9575,""
