"BIXS273K.Code.or.Value","BIXS273K.Value.Description","BIXS273K.Count","BIXS273K.Cumulative","BIXS273K.Skip.to.Item"
"48.75 to 839.15","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
