"URDUMMAL.Code.or.Value","URDUMMAL.Value.Description","URDUMMAL.Count","URDUMMAL.Cumulative","URDUMMAL.Skip.to.Item"
"0","At or above the detection limit",947,947,NA
"1","Below lower detection limit",1629,2576,NA
".","Missing",144,2720,NA
