"LBXT4F.Code.or.Value","LBXT4F.Value.Description","LBXT4F.Count","LBXT4F.Cumulative","LBXT4F.Skip.to.Item"
"0.1 to 4.8","Range of Values",6264,6264,NA
".","Missing",653,6917,NA
