"MCQ160M.Code.or.Value","MCQ160M.Value.Description","MCQ160M.Count","MCQ160M.Cumulative","MCQ160M.Skip.to.Item"
"1","Yes",608,608,""
"2","No",5597,6205,"MCQ160K"
"7","Refused",0,6205,"MCQ160K"
"9","Don't know",13,6218,"MCQ160K"
".","Missing",3891,10109,""
