"DXXHEA.Code.or.Value","DXXHEA.Value.Description","DXXHEA.Count","DXXHEA.Cumulative","DXXHEA.Skip.to.Item"
"170.62 to 298.71","Range of Values",4725,4725,NA
".","Missing",967,5692,NA
