"DS1TPFAT.Code.or.Value","DS1TPFAT.Value.Description","DS1TPFAT.Count","DS1TPFAT.Cumulative","DS1TPFAT.Skip.to.Item"
"0.25 to 12","Range of Values",138,138,NA
".","Missing",8566,8704,NA
