"FSD032B.Code.or.Value","FSD032B.Value.Description","FSD032B.Count","FSD032B.Cumulative","FSD032B.Skip.to.Item"
"1","Often true",620,620,NA
"2","Sometimes true",1665,2285,NA
"3","Never true",7779,10064,NA
"7","Refused",6,10070,NA
"9","Don't know",2,10072,NA
".","Missing",77,10149,NA
