"RDQ050.Code.or.Value","RDQ050.Value.Description","RDQ050.Count","RDQ050.Cumulative","RDQ050.Skip.to.Item"
"1","Yes",401,401,""
"2","No",3622,4023,"RDQ070"
"7","Refused",0,4023,"RDQ070"
"9","Don't know",1,4024,"RDQ070"
".","Missing",5642,9666,""
