"RHQ541A.Code.or.Value","RHQ541A.Value.Description","RHQ541A.Count","RHQ541A.Cumulative","RHQ541A.Skip.to.Item"
"10","Pills",448,448,NA
"77","Refused",0,448,NA
"99","Don't know",2,450,NA
".","Missing",3295,3745,NA
