"DR2TVB12.Code.or.Value","DR2TVB12.Value.Description","DR2TVB12.Count","DR2TVB12.Cumulative","DR2TVB12.Skip.to.Item"
"0 to 260.34","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
