"LBXTR.Code.or.Value","LBXTR.Value.Description","LBXTR.Count","LBXTR.Cumulative","LBXTR.Skip.to.Item"
"21 to 1538","Range of Values",3503,3503,NA
".","Missing",412,3915,NA
