"DRD370T.Code.or.Value","DRD370T.Value.Description","DRD370T.Count","DRD370T.Cumulative","DRD370T.Skip.to.Item"
"1","Yes",1333,1333,""
"2","No",3549,4882,"DRD370U"
".","Missing",4662,9544,""
