"DXXL2BMD.Code.or.Value","DXXL2BMD.Value.Description","DXXL2BMD.Count","DXXL2BMD.Cumulative","DXXL2BMD.Skip.to.Item"
"0.456 to 1.664","Range of Values",2836,2836,NA
".","Missing",872,3708,NA
