"DXXANTOM.Code.or.Value","DXXANTOM.Value.Description","DXXANTOM.Count","DXXANTOM.Cumulative","DXXANTOM.Skip.to.Item"
"978.4 to 14971.8","Range of Values",5589,5589,NA
".","Missing",1304,6893,NA
