"LBCMIR.Code.or.Value","LBCMIR.Value.Description","LBCMIR.Count","LBCMIR.Cumulative","LBCMIR.Skip.to.Item"
"0.004 to 0.3722","Range of Values",247,247,NA
".","Missing",0,247,NA
