"RFXC096.Code.or.Value","RFXC096.Value.Description","RFXC096.Count","RFXC096.Cumulative","RFXC096.Skip.to.Item"
"-6.842 to 4.612","Range of Values",51062,51062,NA
".","Missing",14,51076,NA
