"BPXSY4.Code.or.Value","BPXSY4.Value.Description","BPXSY4.Count","BPXSY4.Cumulative","BPXSY4.Skip.to.Item"
"78 to 226","Range of Values",447,447,NA
".","Missing",8891,9338,NA
