"DR1IS100.Code.or.Value","DR1IS100.Value.Description","DR1IS100.Count","DR1IS100.Cumulative","DR1IS100.Skip.to.Item"
"0 to 5.916","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
