"LBXVTC.Code.or.Value","LBXVTC.Value.Description","LBXVTC.Count","LBXVTC.Cumulative","LBXVTC.Skip.to.Item"
"0.0066 to 3.86","Range of Values",922,922,NA
".","Missing",527,1449,NA
