"DR1TVB1.Code.or.Value","DR1TVB1.Value.Description","DR1TVB1.Count","DR1TVB1.Cumulative","DR1TVB1.Skip.to.Item"
"0.007 to 10.652","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
