"LBDD01LC.Code.or.Value","LBDD01LC.Value.Description","LBDD01LC.Count","LBDD01LC.Cumulative","LBDD01LC.Skip.to.Item"
"0","detectable result",415,415,NA
"1","below detectable limit",821,1236,NA
".","Missing",1311,2547,NA
