"LBDD04LC.Code.or.Value","LBDD04LC.Value.Description","LBDD04LC.Count","LBDD04LC.Cumulative","LBDD04LC.Skip.to.Item"
"0","detectable result",511,511,NA
"1","below detectable limit",1358,1869,NA
".","Missing",416,2285,NA
