"AUXRR171.Code.or.Value","AUXRR171.Value.Description","AUXRR171.Count","AUXRR171.Cumulative","AUXRR171.Skip.to.Item"
"-14 to 127","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
