"LEXBRPM.Code.or.Value","LEXBRPM.Value.Description","LEXBRPM.Count","LEXBRPM.Cumulative","LEXBRPM.Skip.to.Item"
"82 to 250","Range of Values",2831,2831,NA
".","Missing",353,3184,NA
