"RFXT116.Code.or.Value","RFXT116.Value.Description","RFXT116.Count","RFXT116.Cumulative","RFXT116.Skip.to.Item"
"1008 to 1017","Range of Values",51057,51057,NA
".","Missing",19,51076,NA
