"LBXF04.Code.or.Value","LBXF04.Value.Description","LBXF04.Count","LBXF04.Cumulative","LBXF04.Skip.to.Item"
"8.34 to 241.8","Range of Values",1890,1890,NA
".","Missing",384,2274,NA
