"DS2TSODI.Code.or.Value","DS2TSODI.Value.Description","DS2TSODI.Count","DS2TSODI.Cumulative","DS2TSODI.Skip.to.Item"
"1 to 230","Range of Values",470,470,NA
".","Missing",9783,10253,NA
