"BIXS015K.Code.or.Value","BIXS015K.Value.Description","BIXS015K.Count","BIXS015K.Cumulative","BIXS015K.Skip.to.Item"
"251.15 to 1051.65","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
