"DXXAGRAT.Code.or.Value","DXXAGRAT.Value.Description","DXXAGRAT.Count","DXXAGRAT.Cumulative","DXXAGRAT.Skip.to.Item"
"0.5 to 1.7","Range of Values",4691,4691,NA
".","Missing",1001,5692,NA
