"LBXSCA.Code.or.Value","LBXSCA.Value.Description","LBXSCA.Count","LBXSCA.Cumulative","LBXSCA.Skip.to.Item"
"6.7 to 12.5","Range of Values",6492,6492,NA
".","Missing",498,6990,NA
