"MCQ240W.Code.or.Value","MCQ240W.Value.Description","MCQ240W.Count","MCQ240W.Cumulative","MCQ240W.Skip.to.Item"
"11 to 78","Range of Values",120,120,NA
"80","80 years or older",8,128,NA
"77777","Refused",0,128,NA
"99999","Don't know",0,128,NA
".","Missing",9981,10109,NA
