"DRXTP225.Code.or.Value","DRXTP225.Value.Description","DRXTP225.Count","DRXTP225.Cumulative","DRXTP225.Skip.to.Item"
"0 to 1.02","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
