"AUXU1K1L.Code.or.Value","AUXU1K1L.Value.Description","AUXU1K1L.Count","AUXU1K1L.Cumulative","AUXU1K1L.Skip.to.Item"
"-10 to 100","Range of Values",2187,2187,NA
"666","No response",1,2188,NA
"888","Could not obtain",14,2202,NA
".","Missing",166,2368,NA
