"DR2LANG.Code.or.Value","DR2LANG.Value.Description","DR2LANG.Count","DR2LANG.Cumulative","DR2LANG.Skip.to.Item"
"5 to 6","Range of Values",98,98,NA
"1","English",6813,6911,NA
"2","Spanish",769,7680,NA
"3","English and Spanish",75,7755,NA
"4","Other",2,7757,NA
".","Missing",1581,9338,NA
