"OHD28LAS.Code.or.Value","OHD28LAS.Value.Description","OHD28LAS.Count","OHD28LAS.Cumulative","OHD28LAS.Skip.to.Item"
"0 to 9","Range of Values",1553,1553,NA
"99","Calculation cannot be determined",230,1783,NA
".","Missing",4975,6758,NA
