"URDMIBLC.Code.or.Value","URDMIBLC.Value.Description","URDMIBLC.Count","URDMIBLC.Cumulative","URDMIBLC.Skip.to.Item"
"0","At or above the detection limit",2929,2929,NA
"1","Below lower detection limit",46,2975,NA
".","Missing",230,3205,NA
