"DSQIIRON.Code.or.Value","DSQIIRON.Value.Description","DSQIIRON.Count","DSQIIRON.Cumulative","DSQIIRON.Skip.to.Item"
"0.0004 to 306","Range of Values",1610,1610,NA
".","Missing",6790,8400,NA
