"CIQP13B.Code.or.Value","CIQP13B.Value.Description","CIQP13B.Count","CIQP13B.Cumulative","CIQP13B.Skip.to.Item"
"1","Yes",49,49,NA
"2","No",68,117,NA
"7","Refused",0,117,NA
"9","Don't know",1,118,NA
".","Missing",810,928,NA
