"BPQ150C.Code.or.Value","BPQ150C.Value.Description","BPQ150C.Count","BPQ150C.Cumulative","BPQ150C.Skip.to.Item"
"1","Yes",30,30,NA
"2","No",7230,7260,NA
".","Missing",2022,9282,NA
